,dt,o,h,l,c
198,2020-01-05 03:00:00,7443.6350797,7458.83127478,7436.90000001,7451.21010576
199,2020-01-05 03:30:00,7451.99999999,7477.99444202,7450.57021198,7474.31330499
200,2020-01-05 04:00:00,7474.17693556,7494.99999999,7442.48923624,7454.68563899
201,2020-01-05 04:30:00,7454.645681,7463.29290773,7443.0000003,7455.40909099
202,2020-01-05 05:00:00,7455.98009698,7461.89293823,7443.62494284,7454.50243356
203,2020-01-05 05:30:00,7454.4,7466.11509458,7452.40001253,7458.77144872
204,2020-01-05 06:00:00,7457.1556178,7480.43666999,7445.97595102,7455.73099081
205,2020-01-05 06:30:00,7455.73099081,7459.86947981,7441.00000003,7457.47251861
206,2020-01-05 07:00:00,7456.50078958,7457.53125558,7440.06233152,7446.87770821
207,2020-01-05 07:30:00,7446.74478836,7469.80294406,7446.49755494,7463.42866797
208,2020-01-05 08:00:00,7463.61457342,7472.16124386,7447.72917605,7448.37148762
209,2020-01-05 08:30:00,7448.37148762,7452.19999991,7415.0,7426.84524349
210,2020-01-05 09:00:00,7428.2706116,7437.85311225,7400.0,7427.27318444
211,2020-01-05 09:30:00,7428.31417008,7430.361534,7407.67346938,7426.09081632
212,2020-01-05 10:00:00,7425.02040816,7432.31732939,7418.53818604,7420.0
213,2020-01-05 10:30:00,7420.0,7423.76599782,7402.57142859,7415.001318
214,2020-01-05 11:00:00,7417.01841789,7431.92816122,7409.45321203,7427.43670205
215,2020-01-05 11:30:00,7427.53303829,7439.244356,7420.02648994,7423.95935595
216,2020-01-05 12:00:00,7423.95935584,7459.40884738,7422.9837285,7443.580557
217,2020-01-05 12:30:00,7442.79478847,7459.71428571,7436.24489795,7457.88494999
218,2020-01-05 13:00:00,7457.73023388,7458.18135672,7415.03597554,7418.668368
219,2020-01-05 13:30:00,7421.78380099,7441.49897968,7415.83673469,7432.90465562
220,2020-01-05 14:00:00,7432.67346938,7442.684785,7426.60000003,7440.32653061
