t,o,h,l,c,v
1577982600000,7115.66369039,7126.03196831,7012.65100306,7053.33,79.02994353
1577984400000,7055.22309596,7055.22309596,6933.79000002,6961.53316524,136.62126101
1577986200000,6950.9956014,6985.53897226,6950.26952007,6971.826708,50.07261182
1577988000000,6971.998826,6978.949502,6952.5,6965.60000011,13.25571555
1577989800000,6965.862935,6991.50398471,6958.30318398,6974.08600006,20.4594257
1577991600000,6977.71267001,6987.99999999,6959.61480742,6971.45700672,39.49584241
1577993400000,6974.717392,6996.26924661,6969.37874529,6984.59590235,17.75816242
1577995200000,6982.73511102,6984.59590218,6942.30000001,6951.69729985,19.59500464
1577997000000,6951.374811,6974.2124328,6946.81396999,6950.65789899,13.34325846
1577998800000,6950.05789899,6969.7277559,6949.71574308,6967.29,13.95142497
1578000600000,6967.29,6984.89111455,6960.99852028,6978.55145115,10.89107155
1578002400000,6974.328811,6977.66864365,6963.28657236,6966.35465618,67.67995021
1578004200000,6967.595966,6976.40206471,6963.5455509,6974.54619098,101.8440747
1578006000000,6974.54619088,6975.36434345,6951.28027435,6964.01562506,100.87441218
1578007800000,6961.73430599,6973.34484444,6957.74004567,6965.96577138,162.54961436
1578009600000,6964.86861392,6966.56435015,6946.63983261,6954.90305938,179.92830519
1578011400000,6954.90305938,6956.84335184,6912.95311525,6937.83099861,151.54095659
1578013200000,6937.83099861,6947.87824663,6932.24777024,6936.03861898,128.31717074
1578015000000,6936.03861886,6937.55053615,6877.710376,6885.86237397,155.75012449
1578016800000,6886.06237399,6946.80772798,6870.86130202,6942.949387,126.82140454
1578018600000,6942.87995732,6964.84516198,6939.27195402,6957.55089849,116.90091844
1578020400000,6956.22228336,6965.57418,6947.20000002,6956.42300222,76.98981086
1578022200000,6957.686384,6957.857815,6939.87076675,6948.24192385,12.22455481
1578024000000,6950.09155639,7044.69604928,6950.09155639,7021.90567595,40.04911442
1578025800000,7024.60110899,7265.0,7005.38,7209.75420566,141.30466237
1578027600000,7217.69999872,7257.0,7168.61897446,7178.49999998,41.4766733
1578029400000,7173.76107716,7230.95066313,7173.76107711,7220.559908,245.65569215
1578031200000,7220.99999999,7223.56940523,7181.82522998,7196.292402,260.54022171
1578033000000,7197.60276907,7218.54600866,7190.00000027,7202.72666819,156.71002247
1578034800000,7202.10168108,7234.93947708,7194.0,7221.60673301,204.09304758
1578036600000,7221.6235705,7230.0309191,7186.88070684,7201.98927806,151.3115307
1578038400000,7202.70863778,7227.99999989,7202.70863778,7215.07763445,153.39118845
