t,o,h,l,c,v
1610233200000,40280.0,40393.5,39873.5,40074.5,853.352
1610236800000,40074.5,40742.0,40074.5,40599.5,767.332
1610240400000,40599.5,41363.5,40487.0,41229.5,1231.424
1610244000000,41229.5,41230.0,40959.5,41062.5,449.593
1610247600000,41062.5,41111.0,40351.5,40425.0,981.366
1610251200000,40425.0,40687.0,40139.5,40423.0,604.469
1610254800000,40423.0,40693.0,40340.0,40517.0,312.377
1610258400000,40517.0,41102.5,40455.0,40942.5,626.23
1610262000000,40942.5,41083.0,40723.0,41009.0,603.833
1610265600000,41009.0,41150.5,40646.0,40870.0,728.733
1610269200000,40870.0,41098.5,40783.5,40814.0,486.717
1610272800000,40814.0,40901.5,40017.0,40471.5,1833.413
1610276400000,40471.5,40471.5,38924.0,39233.0,3275.88
1610280000000,39233.0,39797.5,38558.0,39553.5,2588.07
1610283600000,39553.5,40074.5,39477.0,39767.0,1281.915
1610287200000,39767.0,39814.0,39229.0,39399.5,984.227
1610290800000,39399.5,39904.5,39060.0,39696.0,1022.03
1610294400000,39696.0,39773.5,39238.5,39295.0,928.079
1610298000000,39295.0,39405.0,37264.5,38594.5,6064.642
1610301600000,38594.5,38763.5,37800.0,38134.0,2144.189
1610305200000,38134.0,38548.0,37200.0,37490.5,1607.012
1610308800000,37490.5,37795.0,35333.5,37730.0,6855.809
1610312400000,37730.0,38200.0,37559.5,38071.0,1381.996
1610316000000,38071.0,39002.0,37894.0,38441.0,1439.155
1610319600000,38441.0,38686.5,37965.0,38169.5,723.426
1610323200000,38169.5,38278.0,36790.0,37268.0,1671.333
1610326800000,37268.0,37848.0,36751.0,37303.5,1086.183
1610330400000,37303.5,37451.0,36250.0,36423.5,1995.861
1610334000000,36423.5,36743.5,33639.5,35407.5,10035.443
1610337600000,35407.5,35945.0,34290.0,35510.5,3868.419
1610341200000,35510.5,35874.0,34505.0,34906.5,3471.08
1610344800000,34906.5,34906.5,32703.5,32933.5,7321.806
1610348400000,32933.5,34720.0,32631.5,34376.0,4433.389
1610352000000,34376.0,35815.0,34139.5,35436.5,2770.164
1610355600000,35436.5,35776.5,34920.5,35775.0,1539.37
1610359200000,35775.0,36350.0,35254.5,35396.0,1392.806
1610362800000,35396.0,35485.5,34088.5,34228.0,2114.865
1610366400000,34228.0,35141.0,33407.0,34330.0,4158.355
1610370000000,34330.0,34485.0,32834.0,32877.0,5224.559
1610373600000,32877.0,33746.5,31170.0,33281.0,12817.186
1610377200000,33281.0,33638.0,31427.5,31558.0,5362.172
1610380800000,31558.0,32224.0,30427.0,31795.0,8197.914
1610384400000,31795.0,33550.0,30740.0,32878.0,5226.93
1610388000000,32878.0,33359.5,32472.0,32617.5,2817.098
1610391600000,32617.5,32783.5,31311.0,32312.0,3313.641
1610395200000,32312.0,33470.5,31463.5,33463.5,4092.637
1610398800000,33463.5,34422.0,33130.5,33965.5,5081.736
1610402400000,33965.5,34850.0,33670.0,34373.5,2148.34
1610406000000,34373.5,35562.0,34373.5,35377.5,2338.838
1610409600000,35377.5,35467.5,34305.0,34950.5,2394.232
1610413200000,34950.5,35464.5,33978.5,34314.5,1893.075
1610416800000,34314.5,34638.5,33749.0,34418.0,1275.165
1610420400000,34418.0,34990.0,34225.0,34981.5,989.655
1610424000000,34981.5,35300.0,34538.0,35285.0,1320.856
1610427600000,35285.0,35895.0,34977.5,35895.0,1386.91
1610431200000,35895.0,36358.0,35753.0,36018.5,1272.822
1610434800000,36018.5,36672.0,35677.0,36479.5,1410.802
1610438400000,36479.5,36544.5,35676.0,35829.5,1216.076
1610442000000,35829.5,36179.5,35527.0,35962.5,1002.645
1610445600000,35962.5,36164.5,34830.0,35115.0,1732.925
1610449200000,35115.0,35830.0,35115.0,35388.0,1370.009
1610452800000,35388.0,35650.0,34870.0,35001.0,931.887
1610456400000,35001.0,35391.5,33340.0,33364.0,2782.022
1610460000000,33364.0,34060.0,32620.0,33470.5,4558.334
1610463600000,33470.5,34300.0,33470.5,33860.0,2147.16
1610467200000,33860.0,34978.5,33858.0,34973.5,2340.556
1610470800000,34973.5,35272.0,34564.0,34978.5,1508.722
1610474400000,34978.5,35527.5,34805.0,35020.5,1323.954
1610478000000,35020.5,35041.0,34196.5,34679.5,1838.18
1610481600000,34679.5,34679.5,33719.5,34269.5,1859.352
1610485200000,34269.5,34865.5,33806.5,34744.5,845.77
1610488800000,34744.5,35049.0,33379.0,33750.5,2153.515
1610492400000,33750.5,34174.5,33333.0,34079.0,2125.957
1610496000000,34079.0,34082.0,32453.5,32587.0,2072.283
1610499600000,32587.0,33278.0,32559.5,33145.5,1673.112
1610503200000,33145.5,33554.5,32604.0,33078.0,1633.546
1610506800000,33078.0,34395.0,33030.0,33814.0,2059.416
1610510400000,33814.0,33919.5,33095.0,33181.0,1018.012
1610514000000,33181.0,33500.0,32812.0,33299.5,955.038
1610517600000,33299.5,34226.5,33222.0,33806.0,1523.786
1610521200000,33806.0,35203.0,33740.0,35007.0,1567.025
1610524800000,35007.0,35093.0,34518.0,34567.5,979.136
1610528400000,34567.5,35127.0,34230.0,34398.5,835.147
1610532000000,34398.5,35109.0,34398.5,34930.5,895.889
1610535600000,34930.5,35278.0,34269.0,34401.5,1197.218
1610539200000,34401.5,34522.5,34050.0,34286.5,768.273
1610542800000,34286.5,34806.0,34101.5,34593.0,951.547
1610546400000,34593.0,35140.0,34284.0,34310.0,899.148
1610550000000,34310.0,34883.5,34226.0,34695.5,810.056
1610553600000,34695.5,34971.0,34428.5,34809.0,545.076
1610557200000,34809.0,35044.5,34693.0,34844.5,611.475
1610560800000,34844.5,35960.0,34771.0,35778.5,1250.095
1610564400000,35778.5,36224.5,35656.5,36036.0,1077.877
1610568000000,36036.0,36496.0,35783.0,36249.5,1131.977
1610571600000,36249.5,37480.0,36173.0,37342.5,1661.214
1610575200000,37342.5,37854.0,36962.0,37252.5,1631.374
1610578800000,37252.5,37625.5,37061.0,37417.5,776.147
1610582400000,37417.5,38226.5,37413.0,37828.0,1066.685
1610586000000,37828.0,37830.0,37424.0,37513.5,653.08
1610589600000,37513.5,37747.0,37163.0,37506.5,577.892
1610593200000,37506.5,37542.0,37034.0,37075.5,905.428
1610596800000,37075.5,37487.5,36739.0,37485.5,1050.253
1610600400000,37485.5,37781.0,37296.5,37514.5,476.531
1610604000000,37514.5,38109.0,37436.0,37820.5,505.001
1610607600000,37820.5,38598.0,37704.5,38210.0,1248.679
1610611200000,38210.0,38777.5,38183.0,38380.5,1158.673
1610614800000,38380.5,38451.5,37953.5,38013.5,867.007
1610618400000,38013.5,38558.0,37957.0,38558.0,933.186
1610622000000,38558.0,38670.0,38150.0,38438.5,631.174
1610625600000,38438.5,38484.0,37778.5,38304.5,1618.542
1610629200000,38304.5,39042.5,38219.0,39010.0,1347.901
1610632800000,39010.0,39680.0,38813.5,39567.0,2024.971
1610636400000,39567.0,40076.0,39350.0,39517.0,2629.3
1610640000000,39517.0,39990.0,39248.5,39286.5,1346.864
1610643600000,39286.5,39878.0,39286.5,39476.0,978.366
1610647200000,39476.0,39650.5,39329.0,39384.0,492.005
1610650800000,39384.0,39989.5,39384.0,39939.5,728.646
1610654400000,39939.5,40007.5,39385.0,39390.5,635.715
1610658000000,39390.5,39505.0,38415.0,38872.0,2425.531
1610661600000,38872.0,39188.5,38502.5,39053.0,990.951
1610665200000,39053.0,39341.0,38807.5,39167.5,762.004
1610668800000,39167.5,39763.0,39078.5,39505.5,718.879
1610672400000,39505.5,39654.5,39056.0,39213.0,627.667
1610676000000,39213.0,39509.5,38867.0,39321.5,811.629
1610679600000,39321.5,39372.5,38531.0,38773.0,808.181
1610683200000,38773.0,38858.0,38428.5,38500.0,798.962
1610686800000,38500.0,38885.0,37880.5,37887.5,758.213
1610690400000,37887.5,38099.5,37650.0,38057.0,862.571
1610694000000,38057.0,38437.0,37749.0,38432.0,689.823
1610697600000,38432.0,38631.5,38165.5,38286.5,632.798
1610701200000,38286.5,38721.0,38040.5,38680.0,765.186
1610704800000,38680.0,38794.0,38373.5,38482.0,478.603
1610708400000,38482.0,38570.0,37987.0,38156.0,731.514
1610712000000,38156.0,38241.0,37272.5,37836.5,1422.003
1610715600000,37836.5,37916.0,37309.0,37734.0,1398.015
1610719200000,37734.0,37803.5,36721.0,36967.5,1913.399
1610722800000,36967.5,36995.0,35360.0,35678.5,4261.967
1610726400000,35678.5,36290.0,34512.5,36135.5,4110.96
1610730000000,36135.5,36135.5,35376.0,35953.5,1647.351
1610733600000,35953.5,36421.0,34806.0,35410.5,1456.904
1610737200000,35410.5,35901.5,35168.0,35217.0,1136.928
1610740800000,35217.0,35711.5,34791.5,35589.5,1287.105
1610744400000,35589.5,36398.5,35541.0,36215.0,748.578
1610748000000,36215.0,36881.0,35955.5,36594.0,893.268
1610751600000,36594.0,36856.5,36404.0,36716.5,557.382
1610755200000,36716.5,37391.0,36709.0,37129.5,806.642
1610758800000,37129.5,37626.5,36910.5,37000.5,747.489
1610762400000,37000.5,37190.0,36074.5,36228.5,1079.568
1610766000000,36228.5,36641.0,36012.0,36526.5,915.724
1610769600000,36526.5,36677.0,36142.0,36581.0,562.236
1610773200000,36581.0,36635.5,35533.0,35859.0,1104.652
1610776800000,35859.0,36343.0,35846.5,36092.0,994.997
1610780400000,36092.0,36919.0,36078.0,36588.5,669.04
1610784000000,36588.5,37517.5,36400.0,37484.0,1166.041
1610787600000,37484.0,37698.0,37233.0,37460.5,786.727
1610791200000,37460.5,37992.5,37364.5,37487.5,1423.795
1610794800000,37487.5,37893.0,37240.0,37722.0,771.483
1610798400000,37722.0,37921.0,36815.5,37408.5,1525.115
1610802000000,37408.5,37702.5,37127.5,37204.5,949.764
1610805600000,37204.5,37364.0,36745.0,37246.5,1213.824
